min_lon,min_lat,max_lon,max_lat,Island_Letter,Island_Number,Grid_Number,island_number
-90.3014678955078,-0.4166899919509888,-90.26817756834484,-0.3836377422014873,X,1,248,4
-90.26814270019531,-0.4166899919509888,-90.23485237303234,-0.3836377422014873,X,1,249,4
-91.66799926757812,-0.3833599984645844,-91.63470894041515,-0.3503077487150829,X,1,250,1
-91.36802673339844,-0.3833599984645844,-91.33473640623545,-0.3503077487150829,X,1,251,1
-91.33470153808594,-0.3833599984645844,-91.30141121092295,-0.3503077487150829,X,1,252,1
-91.3013687133789,-0.3833599984645844,-91.26807838621592,-0.3503077487150829,X,1,253,1
-91.00140380859376,-0.3833599984645844,-90.96811348143078,-0.3503077487150829,X,1,254,1
-90.80142211914062,-0.3833599984645844,-90.76813179197764,-0.3503077487150829,X,1,255,7
-90.7680892944336,-0.3833599984645844,-90.73479896727062,-0.3503077487150829,X,1,256,7
-90.73475646972656,-0.3833599984645844,-90.70146614256359,-0.3503077487150829,X,1,257,7
-90.70143127441406,-0.3833599984645844,-90.66814094725108,-0.3503077487150829,X,1,258,7
-90.66809844970705,-0.3833599984645844,-90.63480812254406,-0.3503077487150829,X,1,259,7
-90.6014404296875,-0.3833599984645844,-90.56815010252451,-0.3503077487150829,X,1,260,7
-90.56810760498048,-0.3833599984645844,-90.5348172778175,-0.3503077487150829,X,1,261,7
-91.66799926757812,-0.35003000497818,-91.63470894041515,-0.31697775522867844,X,1,262,1
-91.40135955810548,-0.35003000497818,-91.3680692309425,-0.31697775522867844,X,1,263,1
-91.36802673339844,-0.35003000497818,-91.33473640623545,-0.31697775522867844,X,1,264,1
-91.06806182861328,-0.35003000497818,-91.03477150145031,-0.31697775522867844,X,1,265,1
-91.03472900390624,-0.35003000497818,-91.00143867674328,-0.31697775522867844,X,1,266,1
-91.00140380859376,-0.35003000497818,-90.96811348143078,-0.31697775522867844,X,1,267,1
-90.86808013916016,-0.35003000497818,-90.83478981199718,-0.31697775522867844,X,1,268,7
-90.83474731445312,-0.35003000497818,-90.80145698729015,-0.31697775522867844,X,1,269,7
-90.80142211914062,-0.35003000497818,-90.76813179197764,-0.31697775522867844,X,1,270,7
-90.56810760498048,-0.35003000497818,-90.5348172778175,-0.31697775522867844,X,1,271,7
-91.66799926757812,-0.3167000114917756,-91.63470894041515,-0.28364776174227396,X,1,272,1
-91.6346664428711,-0.3167000114917756,-91.60137611570812,-0.28364776174227396,X,1,273,1
